--第8关
drops=
{
{ id=1154,count=1,strong =0,quality=0, propability=1, bind=1,group=0,strongMin =0,qualityMin=0,sex=-1,job=0},

{ id=499,count=1,strong =0,quality=0, propability=1, bind=1,group=1,strongMin =0,qualityMin=0,sex=-1,job=0},
{ id=500,count=1,strong =0,quality=0, propability=1, bind=1,group=1,strongMin =0,qualityMin=0,sex=-1,job=0},
{ id=501,count=1,strong =0,quality=0, propability=1, bind=1,group=1,strongMin =0,qualityMin=0,sex=-1,job=0},
{ id=502,count=1,strong =0,quality=0, propability=1, bind=1,group=1,strongMin =0,qualityMin=0,sex=-1,job=0},
{ id=503,count=1,strong =0,quality=0, propability=1, bind=1,group=1,strongMin =0,qualityMin=0,sex=-1,job=0},
{ id=504,count=1,strong =0,quality=0, propability=1, bind=1,group=1,strongMin =0,qualityMin=0,sex=-1,job=0},
{ id=505,count=1,strong =0,quality=0, propability=1, bind=1,group=1,strongMin =0,qualityMin=0,sex=-1,job=0},

{ id=499,count=1,strong =0,quality=0, propability=1, bind=1,group=2,strongMin =0,qualityMin=0,sex=-1,job=0},
{ id=500,count=1,strong =0,quality=0, propability=1, bind=1,group=2,strongMin =0,qualityMin=0,sex=-1,job=0},
{ id=501,count=1,strong =0,quality=0, propability=1, bind=1,group=2,strongMin =0,qualityMin=0,sex=-1,job=0},
{ id=502,count=1,strong =0,quality=0, propability=1, bind=1,group=2,strongMin =0,qualityMin=0,sex=-1,job=0},
{ id=503,count=1,strong =0,quality=0, propability=1, bind=1,group=2,strongMin =0,qualityMin=0,sex=-1,job=0},
{ id=504,count=1,strong =0,quality=0, propability=1, bind=1,group=2,strongMin =0,qualityMin=0,sex=-1,job=0},
{ id=505,count=1,strong =0,quality=0, propability=1, bind=1,group=2,strongMin =0,qualityMin=0,sex=-1,job=0},

{ id=499,count=1,strong =0,quality=0, propability=1, bind=1,group=3,strongMin =0,qualityMin=0,sex=-1,job=0},
{ id=500,count=1,strong =0,quality=0, propability=1, bind=1,group=3,strongMin =0,qualityMin=0,sex=-1,job=0},
{ id=501,count=1,strong =0,quality=0, propability=1, bind=1,group=3,strongMin =0,qualityMin=0,sex=-1,job=0},
{ id=502,count=1,strong =0,quality=0, propability=1, bind=1,group=3,strongMin =0,qualityMin=0,sex=-1,job=0},
{ id=503,count=1,strong =0,quality=0, propability=1, bind=1,group=3,strongMin =0,qualityMin=0,sex=-1,job=0},
{ id=504,count=1,strong =0,quality=0, propability=1, bind=1,group=3,strongMin =0,qualityMin=0,sex=-1,job=0},
{ id=505,count=1,strong =0,quality=0, propability=1, bind=1,group=3,strongMin =0,qualityMin=0,sex=-1,job=0},

 { id=925,count=5,strong =0,quality=0, propability=1, bind=1,group=4,strongMin =0,qualityMin=0,sex=-1,job=0},
 { id=928,count=5,strong =0,quality=0, propability=1, bind=1,group=5,strongMin =0,qualityMin=0,sex=-1,job=0},

 { id=6,count=1,strong =0,quality=0, propability=1, bind=1,group=6,strongMin =0,qualityMin=0,sex=-1,job=1},
 { id=21,count=1,strong =0,quality=0, propability=1, bind=1,group=6,strongMin =0,qualityMin=0,sex=-1,job=2},
 { id=36,count=1,strong =0,quality=0, propability=1, bind=1,group=6,strongMin =0,qualityMin=0,sex=-1,job=3},
 { id=7,count=1,strong =0,quality=0, propability=1, bind=1,group=6,strongMin =0,qualityMin=0,sex=-1,job=1},
 { id=22,count=1,strong =0,quality=0, propability=1, bind=1,group=6,strongMin =0,qualityMin=0,sex=-1,job=2},
 { id=37,count=1,strong =0,quality=0, propability=1, bind=1,group=6,strongMin =0,qualityMin=0,sex=-1,job=3},
 { id=8,count=1,strong =0,quality=0, propability=1, bind=1,group=6,strongMin =0,qualityMin=0,sex=-1,job=1},
 { id=23,count=1,strong =0,quality=0, propability=1, bind=1,group=6,strongMin =0,qualityMin=0,sex=-1,job=2},
 { id=38,count=1,strong =0,quality=0, propability=1, bind=1,group=6,strongMin =0,qualityMin=0,sex=-1,job=3},
}
