--时装阶数表
--第一行表示一阶时装，以此类推
--当文件 data\config\item\itemEnhance\CQEquipEnhance.txt 修改时要更新此表

FashionStairs =
{
	{685,686,687,688,689,690,691,888,889,890,891,892,893,270,271,1445,1455,1596,1597,1598,1599,2504,2514,},
	{1227,1236,1245,1254,1263,1272,1281,1290,1299,1308,1317,1326,1335,1344,1353,1446,1456,2505,2515,},
	{1228,1237,1246,1255,1264,1273,1282,1291,1300,1309,1318,1327,1336,1345,1354,1447,1457,2506,2516,},
	{1229,1238,1247,1256,1265,1274,1283,1292,1301,1310,1319,1328,1337,1346,1355,1448,1458,2507,2517,},
	{1230,1239,1248,1257,1266,1275,1284,1293,1302,1311,1320,1329,1338,1347,1356,1449,1459,2508,2518,},
	{1231,1240,1249,1258,1267,1276,1285,1294,1303,1312,1321,1330,1339,1348,1357,1450,1460,2509,2519,},
	{1232,1241,1250,1259,1268,1277,1286,1295,1304,1313,1322,1331,1340,1349,1358,1451,1461,1688,1692,1696,1700,2510,2520,},
	{1233,1242,1251,1260,1269,1278,1287,1296,1305,1314,1323,1332,1341,1350,1359,1452,1462,1689,1693,1697,1701,2511,2521,},
	{1234,1243,1252,1261,1270,1279,1288,1297,1306,1315,1324,1333,1342,1351,1360,1453,1463,1690,1694,1698,1702,2512,2522,},
	{1235,1244,1253,1262,1271,1280,1289,1298,1307,1316,1325,1334,1343,1352,1361,1454,1464,1691,1695,1699,1703,2513,2523,},
}
