{ group = 0, type = 0, id = 506, propability = 0, count = 1, growLv = 21, bind = 1 }, --3½×Îï¹¥»êÓñ
{ group = 0, type = 0, id = 507, propability = 0, count = 1, growLv = 21, bind = 1 }, --3½×Ä§¹¥»êÓñ
{ group = 0, type = 0, id = 508, propability = 0, count = 1, growLv = 21, bind = 1 }, --3½×µÀ¹¥»êÓñ
{ group = 0, type = 0, id = 511, propability = 0, count = 1, growLv = 21, bind = 1 }, --3½×ÉúÃü»êÓñ
{ group = 0, type = 0, id = 509, propability = 0, count = 1, growLv = 21, bind = 1 }, --3½×Îï·À»êÓñ
{ group = 0, type = 0, id = 510, propability = 0, count = 1, growLv = 21, bind = 1 }, --3½×Ä§·À»êÓñ
{ group = 0, type = 0, id = 512, propability = 0, count = 1, growLv = 21, bind = 1 }, --3½×Ä§·¨»êÓñ
{ group = 0, type = 0, id = 499, propability = 0, count = 1, growLv = 21, bind = 1 }, --2½×Îï¹¥»êÓñ
{ group = 0, type = 0, id = 500, propability = 0, count = 1, growLv = 21, bind = 1 }, --2½×Ä§¹¥»êÓñ
{ group = 0, type = 0, id = 501, propability = 0, count = 1, growLv = 21, bind = 1 }, --2½×µÀ¹¥»êÓñ
{ group = 0, type = 0, id = 504, propability = 0, count = 1, growLv = 21, bind = 1 }, --2½×ÉúÃü»êÓñ
{ group = 0, type = 0, id = 502, propability = 0, count = 1, growLv = 21, bind = 1 }, --2½×Îï·À»êÓñ
{ group = 0, type = 0, id = 503, propability = 0, count = 1, growLv = 21, bind = 1 }, --2½×Ä§·À»êÓñ
{ group = 0, type = 0, id = 505, propability = 0, count = 1, growLv = 21, bind = 1 }, --2½×Ä§·¨»êÓñ
{ group = 0, type = 0, id = 918, propability = 2, count = 0, mincount = 1, maxcount = 2, bind = 1 }, --ĞÇÖéËé¾§(Ğ¡)
{ group = 0, type = 0, id = 921, propability = 2, count = 0, mincount = 1, maxcount = 2, bind = 1 }, --»¤¾µËé¾§(Ğ¡)
{ group = 0, type = 0, id = 492, propability = 0, count = 1, growLv = 21, bind = 1 }, --1½×Îï¹¥»êÓñ
{ group = 0, type = 0, id = 493, propability = 0, count = 1, growLv = 21, bind = 1 }, --1½×Ä§¹¥»êÓñ
{ group = 0, type = 0, id = 494, propability = 0, count = 1, growLv = 21, bind = 1 }, --1½×µÀ¹¥»êÓñ
{ group = 0, type = 0, id = 495, propability = 0, count = 1, growLv = 21, bind = 1 }, --1½×Îï·À»êÓñ
{ group = 0, type = 0, id = 496, propability = 0, count = 1, growLv = 21, bind = 1 }, --1½×Ä§·À»êÓñ
{ group = 0, type = 0, id = 497, propability = 0, count = 1, growLv = 21, bind = 1 }, --1½×ÉúÃü»êÓñ
{ group = 0, type = 0, id = 498, propability = 0, count = 1, growLv = 21, bind = 1 }, --1½×Ä§·¨»êÓñ
{ group = 0, type = 0, id = 688, propability = 1, count = 0, mincount = 3, maxcount = 5 }, --¹éÔªµ¤(Ğ¡)
{ group = 0, type = 0, id = 688, propability = 0, count = 1 }, --¹éÔªµ¤(Ğ¡)
{ group = 0, type = 0, id = 927, propability = 1, count = 0, mincount = 1, maxcount = 2, bind = 1 }, --Ğş¶ÜËé¾§(Ğ¡)
{ group = 0, type = 0, id = 924, propability = 1, count = 0, mincount = 1, maxcount = 2, bind = 1 }, --ÑªÓ¡Ëé¾§(Ğ¡)
{ group = 0, type = 0, id = 145, propability = 25, count = 1 }, --ÁúÁÛÑü´ø
{ group = 0, type = 0, id = 191, propability = 25, count = 1 }, --ÁúÁÛÍ·¿ø
{ group = 0, type = 0, id = 237, propability = 25, count = 1 }, --ÁúÁÛÏîÁ´
{ group = 0, type = 0, id = 283, propability = 25, count = 1 }, --ÁúÁÛÊÖïí
{ group = 0, type = 0, id = 329, propability = 25, count = 1 }, --ÁúÁÛ½äÖ¸
{ group = 0, type = 0, id = 375, propability = 25, count = 1 }, --ÁúÁÛÕ½Ñ¥
{ group = 0, type = 0, id = 420, propability = 25, count = 1 }, --ÁúÁÛ±¦Ê¯
{ group = 0, type = 0, id = 160, propability = 25, count = 1 }, --ºìÓñÑü´ø
{ group = 0, type = 0, id = 206, propability = 25, count = 1 }, --ºìÓñÍ·¿ø
{ group = 0, type = 0, id = 252, propability = 25, count = 1 }, --ºìÓñÏîÁ´
{ group = 0, type = 0, id = 298, propability = 25, count = 1 }, --ºìÓñÊÖïí
{ group = 0, type = 0, id = 344, propability = 25, count = 1 }, --ºìÓñ½äÖ¸
{ group = 0, type = 0, id = 390, propability = 25, count = 1 }, --ºìÓñ·¨Ñ¥
{ group = 0, type = 0, id = 435, propability = 25, count = 1 }, --ºìÓñ±¦Ê¯
{ group = 0, type = 0, id = 175, propability = 25, count = 1 }, --ĞşìÇÑü´ø
{ group = 0, type = 0, id = 221, propability = 25, count = 1 }, --ĞşìÇÍ·¿ø
{ group = 0, type = 0, id = 267, propability = 25, count = 1 }, --ĞşìÇÏîÁ´
{ group = 0, type = 0, id = 313, propability = 25, count = 1 }, --ĞşìÇÊÖïí
{ group = 0, type = 0, id = 359, propability = 25, count = 1 }, --ĞşìÇ½äÖ¸
{ group = 0, type = 0, id = 405, propability = 25, count = 1 }, --ĞşìÇµÀÑ¥
{ group = 0, type = 0, id = 450, propability = 25, count = 1 }, --ĞşìÇ±¦Ê¯
{ group = 1, type = 0, id = 5, propability = 20, count = 1 }, --ÁúÁÛ½£
{ group = 1, type = 0, id = 54, propability = 15, count = 1 }, --ÁúÁÛÕ½¼×(ÄĞ)
{ group = 1, type = 0, id = 69, propability = 15, count = 1 }, --ÁúÁÛÕ½¼×(Å®)
{ group = 1, type = 0, id = 20, propability = 20, count = 1 }, --ºìÓñÓ°ÈĞ
{ group = 1, type = 0, id = 84, propability = 15, count = 1 }, --ºìÓñ·¨ÅÛ(ÄĞ)
{ group = 1, type = 0, id = 99, propability = 15, count = 1 }, --ºìÓñ·¨ÅÛ(Å®)
{ group = 1, type = 0, id = 35, propability = 20, count = 1 }, --ĞşìÇÉñ½£
{ group = 1, type = 0, id = 114, propability = 15, count = 1 }, --ĞşìÇµÀîø(ÄĞ)
{ group = 1, type = 0, id = 129, propability = 15, count = 1 }, --ĞşìÇµÀîø(Å®)
{ group = 2, type = 0, id = 5, propability = 5, count = 1 }, --ÁúÁÛ½£
{ group = 2, type = 0, id = 54, propability = 5, count = 1 }, --ÁúÁÛÕ½¼×(ÄĞ)
{ group = 2, type = 0, id = 69, propability = 5, count = 1 }, --ÁúÁÛÕ½¼×(Å®)
{ group = 2, type = 0, id = 145, propability = 5, count = 1 }, --ÁúÁÛÑü´ø
{ group = 2, type = 0, id = 191, propability = 5, count = 1 }, --ÁúÁÛÍ·¿ø
{ group = 2, type = 0, id = 237, propability = 5, count = 1 }, --ÁúÁÛÏîÁ´
{ group = 2, type = 0, id = 283, propability = 5, count = 1 }, --ÁúÁÛÊÖïí
{ group = 2, type = 0, id = 329, propability = 5, count = 1 }, --ÁúÁÛ½äÖ¸
{ group = 2, type = 0, id = 375, propability = 5, count = 1 }, --ÁúÁÛÕ½Ñ¥
{ group = 2, type = 0, id = 420, propability = 5, count = 1 }, --ÁúÁÛ±¦Ê¯
{ group = 3, type = 0, id = 20, propability = 5, count = 1 }, --ºìÓñÓ°ÈĞ
{ group = 3, type = 0, id = 84, propability = 5, count = 1 }, --ºìÓñ·¨ÅÛ(ÄĞ)
{ group = 3, type = 0, id = 99, propability = 5, count = 1 }, --ºìÓñ·¨ÅÛ(Å®)
{ group = 3, type = 0, id = 160, propability = 5, count = 1 }, --ºìÓñÑü´ø
{ group = 3, type = 0, id = 206, propability = 5, count = 1 }, --ºìÓñÍ·¿ø
{ group = 3, type = 0, id = 252, propability = 5, count = 1 }, --ºìÓñÏîÁ´
{ group = 3, type = 0, id = 298, propability = 5, count = 1 }, --ºìÓñÊÖïí
{ group = 3, type = 0, id = 344, propability = 5, count = 1 }, --ºìÓñ½äÖ¸
