{ group = 0, type = 0, id = 370, propability = 1, count = 3 }, --×£¸£ÓÍ
{ group = 0, type = 0, id = 281, propability = 1, count = 2 }, --¶ş¼¶ÁéÖé
{ group = 0, type = 0, id = 282, propability = 1, count = 1 }, --Èı¼¶ÁéÖé
{ group = 0, type = 0, id = 856, propability = 1, count = 3 }, --Ó¢ĞÛ¼¼ÄÜ²ĞÒ³
{ group = 0, type = 0, id = 702, propability = 1, count = 3 }, --³õ¼¶Å­Æøµ¤
{ group = 0, type = 0, id = 703, propability = 3, count = 1 }, --ÖĞ¼¶Å­Æøµ¤
{ group = 0, type = 0, id = 278, propability = 1, count = 1 }, --ÇåÏ´É°
{ group = 0, type = 0, id = 354, propability = 100, count = 2 }, --ºìÃµ¹å
{ group = 0, type = 0, id = 161, propability = 40, count = 1 }, --Ê¥ÁéÕ½¼×(ÄĞ)
{ group = 0, type = 0, id = 162, propability = 40, count = 1 }, --Ê¥ÁéÕ½¼×(Å®)
{ group = 0, type = 0, id = 163, propability = 40, count = 1 }, --Ê¥ÁéÍ·¿ø
{ group = 0, type = 0, id = 166, propability = 40, count = 1 }, --Ê¥ÁéÑü´ø
{ group = 0, type = 0, id = 167, propability = 40, count = 1 }, --Ê¥ÁéÕ½Ñ¥
{ group = 0, type = 0, id = 168, propability = 40, count = 1 }, --Ê¥Áé±¦Ê¯
{ group = 0, type = 0, id = 169, propability = 40, count = 1 }, --Ê¥Áé½äÖ¸
{ group = 0, type = 0, id = 172, propability = 40, count = 1 }, --Ñ©ÓòÄ§ÅÛ(ÄĞ)
{ group = 0, type = 0, id = 173, propability = 40, count = 1 }, --Ñ©ÓòÄ§ÅÛ(Å®)
{ group = 0, type = 0, id = 174, propability = 40, count = 1 }, --Ñ©ÓòÍ·¿ø
{ group = 0, type = 0, id = 177, propability = 40, count = 1 }, --Ñ©ÓòÑü´ø
{ group = 0, type = 0, id = 178, propability = 40, count = 1 }, --Ñ©ÓòÄ§Ğ¬
{ group = 0, type = 0, id = 179, propability = 40, count = 1 }, --Ñ©Óò±¦Ê¯
{ group = 0, type = 0, id = 180, propability = 40, count = 1 }, --Ñ©Óò½äÖ¸
{ group = 0, type = 0, id = 183, propability = 40, count = 1 }, --Ììî¸µÀÒÂ(ÄĞ)
{ group = 0, type = 0, id = 184, propability = 40, count = 1 }, --Ììî¸µÀÒÂ(Å®)
{ group = 0, type = 0, id = 185, propability = 40, count = 1 }, --Ììî¸Í·¿ø
{ group = 0, type = 0, id = 188, propability = 40, count = 1 }, --Ììî¸Ñü´ø
{ group = 0, type = 0, id = 189, propability = 40, count = 1 }, --Ììî¸µÀĞ¬
{ group = 0, type = 0, id = 190, propability = 40, count = 1 }, --Ììî¸±¦Ê¯
{ group = 0, type = 0, id = 191, propability = 40, count = 1 }, --Ììî¸Ö®½ä
{ group = 1, type = 0, id = 127, propability = 3, count = 1 }, --ÎäÖ®Ó°÷È
{ group = 1, type = 0, id = 131, propability = 2, count = 1 }, --»ğÁúÏîÁ´
{ group = 1, type = 0, id = 132, propability = 1, count = 1 }, --»ğÁúÊÖïí
{ group = 1, type = 0, id = 136, propability = 1, count = 1 }, --»ğÁú½äÖ¸
{ group = 1, type = 0, id = 138, propability = 3, count = 1 }, --Ò×Ñª¿ñÁú
{ group = 1, type = 0, id = 142, propability = 2, count = 1 }, --À×Ñ×ÏîÁ´
{ group = 1, type = 0, id = 143, propability = 1, count = 1 }, --À×Ñ×ÊÖïí
{ group = 1, type = 0, id = 147, propability = 1, count = 1 }, --À×Ñ×½äÖ¸
{ group = 1, type = 0, id = 149, propability = 3, count = 1 }, --·ïÎè¿ñÉ³
{ group = 1, type = 0, id = 153, propability = 2, count = 1 }, --Ç¬À¤ÏîÁ´
{ group = 1, type = 0, id = 154, propability = 1, count = 1 }, --Ç¬À¤ÊÖïí
{ group = 1, type = 0, id = 158, propability = 1, count = 1 }, --Ç¬À¤½äÖ¸
{ group = 2, type = 0, id = 615, propability = 1, count = 1 }, --À×öªÍ·¿ø
{ group = 2, type = 0, id = 617, propability = 1, count = 1 }, --ĞşÁéÍ·¿ø
{ group = 2, type = 0, id = 616, propability = 1, count = 1 }, --ĞÇ²ÓÍ·¿ø
{ group = 2, type = 0, id = 594, propability = 1, count = 1 }, --ĞşÌú±¦Ê¯
{ group = 2, type = 0, id = 595, propability = 1, count = 1 }, --ĞÇ¹â±¦Ê¯
{ group = 2, type = 0, id = 596, propability = 1, count = 1 }, --Á½ÒÇ±¦Ê¯
{ group = 2, type = 0, id = 597, propability = 1, count = 1 }, --ĞşÌúÊÖïí
{ group = 2, type = 0, id = 598, propability = 1, count = 1 }, --ĞÇ¹âÊÖïí
{ group = 2, type = 0, id = 599, propability = 1, count = 1 }, --Á½ÒÇÊÖïí
{ group = 2, type = 0, id = 600, propability = 1, count = 1 }, --ĞşÌúÏîÁ´
{ group = 2, type = 0, id = 601, propability = 1, count = 1 }, --ĞÇ¹âÏîÁ´
{ group = 2, type = 0, id = 602, propability = 1, count = 1 }, --Á½ÒÇÏîÁ´
{ group = 3, type = 0, id = 98, propability = 3, count = 1 }, --»Æ½ğÏîÁ´
{ group = 3, type = 0, id = 110, propability = 3, count = 1 }, --ºìÓñÊÖïí
{ group = 3, type = 0, id = 120, propability = 3, count = 1 }, --À¶ÁéÏîÁ´
{ group = 3, type = 0, id = 109, propability = 3, count = 1 }, --ºìÓñÏîÁ´
{ group = 3, type = 0, id = 122, propability = 3, count = 1 }, --À¶ÁéÑü´ø
{ group = 3, type = 0, id = 123, propability = 3, count = 1 }, --À¶ÁéµÀĞ¬
{ group = 3, type = 0, id = 121, propability = 3, count = 1 }, --À¶ÁéÊÖïí
{ group = 3, type = 0, id = 101, propability = 3, count = 1 }, --»Æ½ğÕ½Ñ¥
{ group = 3, type = 0, id = 111, propability = 3, count = 1 }, --ºìÓñÑü´ø
{ group = 3, type = 0, id = 100, propability = 3, count = 1 }, --»Æ½ğÑü´ø
{ group = 3, type = 0, id = 112, propability = 3, count = 1 }, --ºìÓñ·¨ÂÄ
{ group = 3, type = 0, id = 99, propability = 3, count = 1 }, --»Æ½ğ»¤Íó
