{ group = 0, type = 0, id = 280, propability = 72, count = 1 }, --Ò»¼¶ÁéÖé
{ group = 0, type = 0, id = 281, propability = 270, count = 1 }, --¶ş¼¶ÁéÖé
{ group = 0, type = 0, id = 282, propability = 900, count = 1 }, --Èı¼¶ÁéÖé
{ group = 0, type = 0, id = 277, propability = 12, count = 1 }, --¼ø¶¨Í¼¼ø
{ group = 0, type = 0, id = 274, propability = 12, count = 1 }, --ÂÌ±¦Ê¯
{ group = 0, type = 0, id = 275, propability = 30, count = 1 }, --×ÏË®¾§
{ group = 0, type = 0, id = 278, propability = 51, count = 1 }, --ÇåÏ´É°
{ group = 0, type = 0, id = 731, propability = 45, count = 1 }, --¿ìÂí±Ş
{ group = 1, type = 0, id = 197, propability = 7500, count = 1 }, --½ğÑôÏîÁ´
{ group = 1, type = 0, id = 202, propability = 7500, count = 1 }, --½ğÑô½äÖ¸
{ group = 1, type = 0, id = 208, propability = 7500, count = 1 }, --ÉóÅĞÏîÁ´
{ group = 1, type = 0, id = 213, propability = 7500, count = 1 }, --ÉóÅĞ½äÖ¸
{ group = 1, type = 0, id = 219, propability = 7500, count = 1 }, --ĞşÚ¤ÏîÁ´
{ group = 1, type = 0, id = 224, propability = 7500, count = 1 }, --ĞşÚ¤½äÖ¸
{ group = 1, type = 0, id = 203, propability = 7500, count = 1 }, --ÊØ»¤
{ group = 1, type = 0, id = 214, propability = 7500, count = 1 }, --±ÙĞ°
{ group = 1, type = 0, id = 225, propability = 7500, count = 1 }, --¾ÛÁé
{ group = 1, type = 0, id = 161, propability = 3000, count = 1 }, --Ê¥ÁéÕ½¼×(ÄĞ)
{ group = 1, type = 0, id = 162, propability = 3000, count = 1 }, --Ê¥ÁéÕ½¼×(Å®)
{ group = 1, type = 0, id = 163, propability = 3000, count = 1 }, --Ê¥ÁéÍ·¿ø
{ group = 1, type = 0, id = 166, propability = 3000, count = 1 }, --Ê¥ÁéÑü´ø
{ group = 1, type = 0, id = 167, propability = 3000, count = 1 }, --Ê¥ÁéÕ½Ñ¥
{ group = 1, type = 0, id = 168, propability = 3000, count = 1 }, --Ê¥Áé±¦Ê¯
{ group = 1, type = 0, id = 169, propability = 3000, count = 1 }, --Ê¥Áé½äÖ¸
{ group = 1, type = 0, id = 172, propability = 3000, count = 1 }, --Ñ©ÓòÄ§ÅÛ(ÄĞ)
{ group = 1, type = 0, id = 173, propability = 3000, count = 1 }, --Ñ©ÓòÄ§ÅÛ(Å®)
